0	1	100
0	2	100
0	3	56
0	5	206
1	2	11
1	3	112
2	5	196
2	8	113
3	5	109
3	4	59
4	7	206
4	 8	191
5	7	50
6	7	68
7	8	150
7	10	85
8	 9	30
8	11	50
9	11	23
9	10	42
10	13	112
11	 12	 67
12	 13	 98
12	 15	 123
13	 14	 32
14	 15	 43
15	 16	 190
16	 22	 60
16	 17	 25
17	 18	 30
17	 21	 27
18	 19	 5
18	 21	 87
18	 22	 202
18	 23	 304
18	24	 101
18	 25	 196
20	 23	 61
21	 22	 34
21	 23	296
21	 24	 67
21	 25	 176
22	 23	 220
22	24	 20
22	 25	 175
22	 27	 100
23	 24	 160
23	 25	 132
23	 27	 251
24	 25	 46
24	 27	 89
24	 28	 56
25	 26	49
26	 27	 189
26	 28	 150
26	 29	 109
27	 28	 24
28	29	 49


28	29	100
28	29	0
